,clusteringCoefficient_networkit_innov,PageRank_networkit_innov,betweennessInComm_toScale_innov,lengthMean_rw_innov,nb_users_innov,clusteringCoefficient_networkit_prop,PageRank_networkit_prop,betweennessInComm_toScale_prop,lengthMean_rw_prop,nb_users_prop,clusteringCoefficient_networkit_fix,PageRank_networkit_fix,betweennessInComm_toScale_fix,lengthMean_rw_fix,nb_users_fix,clusteringCoefficient_networkit,PageRank_networkit,betweennessInComm_toScale,lengthMean_rw,nb_users,type
dja_inProgress,0.0911352329262777,1.4394170781731475e-07,0.1884057971014492,8.28925,526.0,0.06829339173949711,1.9106552026527712e-07,0.5217391304347827,7.4853000000000005,5578.0,0.0687746062992126,2.3172050307525002e-07,0.5652173913043479,6.4285,2719.0,,,,,,inProgress
dja_original,0.0928581776039403,1.3838465831951378e-07,0.1884057971014492,8.032,2246.0,0.07861247364740889,1.7138439837654054e-07,0.463768115942029,7.3031500000000005,15130.0,0.0767676767676767,2.3119409368196139e-07,0.6086956521739132,6.3767,7640.0,,,,,,original
vai_inProgress,0.1133333333333333,1.7545361339653342e-07,0.1872532430908067,11.3484,5205.0,0.1162790697674418,2.2535512469468885e-07,0.217391304347826,11.4603,7745.0,0.1133760434867016,2.5140924669533815e-07,0.2757793764988009,10.4662,5587.0,,,,,,inProgress
vai_original,0.0781407781407781,1.3960655084051886e-07,0.3623188405797102,8.0362,8517.0,0.07685312617601195,1.7083195262915213e-07,0.5121951219512195,7.226649999999999,4791.0,0.0719957864030467,2.5523279774184106e-07,0.6811594202898551,6.3431999999999995,2019.0,,,,,,original
déso_inProgress,0.080167451596023,3.8670715271870665e-07,1.0243902439024393,8.0851,127.0,0.0957105339947475,3.052058279504075e-07,1.1363636363636365,4.0535,560.0,0.09608808140918229,2.7405860622972236e-07,1.115942028985507,4.35785,4367.0,,,,,,inProgress
déso_original,0.10841243213210866,1.5291363684663886e-07,0.5,5.9239999999999995,3166.0,0.094054054054054,2.329423452204249e-07,0.8840579710144926,6.0559,2572.0,0.09557035791213,2.274669650811868e-07,0.902439024390244,4.9535,13669.0,,,,,,original
tavu_inProgress,0.0943108448628345,1.4480003246077966e-07,0.2727272727272728,6.9114,335.0,0.08047186200008849,1.8758117203234417e-07,0.6363636363636365,6.525650000000001,6222.0,0.0819252432155658,2.652467483308789e-07,0.8695652173913045,5.7473,3472.0,,,,,,inProgress
tavu_original,0.07790840738209155,1.5128200049953447e-07,0.21014492753623182,8.54065,566.0,0.0729751403368083,1.881550165813625e-07,0.6086956521739132,7.7124,6749.0,0.0722946694120338,2.83326275191402e-07,0.853658536585366,6.2766,3684.0,,,,,,original
chiants_random,,,,,,,,,,,,,,,,0.081967213114754,2.162231255799281e-07,0.6231884057971014,5.873,29612.0,random
trouble_random,,,,,,,,,,,,,,,,0.1021261763680725,2.303839063164576e-07,0.5909090909090909,8.0242,36198.0,random
